OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
52;Tesco - Callington Road;"Callington Road,
BS4 5AY";BS4 5AY;Brislington West;Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm;Yes;0;Yes;0;1;YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails.;N;N;Yes- during open times;N;Y;N;N;;N;"{""coordinates"": [-2.554650233215569, 51.43247327181327], ""type"": ""Point""}";51.43247327181327,-2.554650233215569
29;Sea Walls Public Toilets;Circular Road By Sea Walls viewing Area;BS9 1ZZ;Stoke Bishop;Monday - Saunday  7:30-18:00;2;1;3;;Yes;Door size 100cm. Movable supportrails, Cubical size 200- 210cm. Seat height 49cm;N;N;N;Y;Y;N;N;N;N;"{""coordinates"": [-2.635545426921134, 51.47014254948864], ""type"": ""Point""}";51.47014254948864,-2.635545426921134
54;Avonmouth Medical Centre (Pioneer Medical Group);1 Collins Street, Bristol;BS11 9JJ;Avonmouth & Lawrence Weston;Monday-Thursday 08:00 - 18:30, Friday 08:00-17:00;0;0;0;2;1;YES - Moveable rail, door 94cm, cubicle 153 x 167cm, seat height 48cm, accessible locks;N;N;Y during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.694532865994351, 51.498751607481], ""type"": ""Point""}";51.498751607481,-2.694532865994351
57;Barton Hill Settlement;"41-43 Ducie Road,
BS5 0AX";BS5 0AX;Lawrence Hill;Monday - Friday 9:00 - 16:00;2;;2;0;2;YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror;N;N;Yes- during open time;N;Y;N;N;Y;Y;"{""coordinates"": [-2.563674974700087, 51.4562494756259], ""type"": ""Point""}";51.4562494756259,-2.563674974700087
115;The Greenway Centre, The Southmead Development Trust;The Greenway Centre, Doncaster Road;BS10 5PY;Southmead;Mon-Fri 8am-10pm, Sat-Sun 9am - 5pm;1;3;4;0;1;Yes - has disabled shower in the unit;N;N;Yes - while open;N;Y;N;N;Y;Y;"{""coordinates"": [-2.608793382751279, 51.49948627978974], ""type"": ""Point""}";51.49948627978974,-2.608793382751279
151;Cabot Circus Shopping Centre 3 floor management suite;Glass House, Broadmead,BS1 3BX;BS1 3BX;Central;Covid-19 update: open Monday-Saturday 09:00-20:15, Sunday 09:00-17:30;7;13;24;0;5;YES - 5 units, support rails, seat height is 36- 40cm, contracting skirting, non slip foor, non reflecting walls and floors;N;N;Y during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.584743013730038, 51.45826825967909], ""type"": ""Point""}";51.45826825967909,-2.584743013730038
148;Watershed;1 Cannons Rd, Harbourside, Bristol;BS1 5TX;Hotwells & Harbourside;Monday-Friday 9:00-23:00, Saturday-Sunday 10:00-23:00;4;4;5;;1;YES - Movable support rail, Door width 86cm, Cubical size 170x214, Seat height 47cm, Mirror, Colour contrasting skirting, Non-slip floor;N;;yes;;Y;N;N;;N;"{""coordinates"": [-2.59807284533066, 51.451771616223816], ""type"": ""Point""}";51.451771616223816,-2.59807284533066
4161;Conham river park;Conham Road;BS15 1AW;St George Troopers Hill;;;;;;0;NONE;;;;;;;;;;"{""coordinates"": [-2.534776863600655, 51.44718082353706], ""type"": ""Point""}";51.44718082353706,-2.534776863600655
7457;Hannover Quay;Hannover Quay - Temp Toilet Block;BS1 5JE;Hotwells & Harbourside;MON-SUN 9am to 9.30pm;;;;9;1;Open Access;;;;;;;;;;"{""coordinates"": [-2.603518263372904, 51.448490551352215], ""type"": ""Point""}";51.448490551352215,-2.603518263372904
4497;Ashton Gate Limited;Coffee shop, Ashton Gate Stadium, Bristol;BS3 2EL;Bedminster;Monday-Friday 08:00-16:00 closed to public on Match days;;;;1;1;YES - Cubical size 140-240cm. Seat height 48. handrails;N;N;Yes - during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.620749692421803, 51.439308645769536], ""type"": ""Point""}";51.439308645769536,-2.620749692421803
